respondent_id,persona_label,age_group,city_tier,business_type,business_age,annual_turnover,decision_authority,adoption_cycle,payment_methods,monthly_payment_vol,cash_flow_crisis_freq,has_credit_card,working_capital_crisis,pays_vendor_pay,pays_gst_tax,pays_rent,pays_utility,pays_salary,pays_saas_sub,pays_insurance,pays_loan_emi,num_payment_types,tried_Razorpay_PayU,tried_BharatPe,tried_Instamojo,tried_Bank_netbanking,tried_NBFC_apps,tried_None,switching_trigger,biggest_concern,fraud_experience,bad_fintech_exp,rbi_importance,digital_comfort,onboarding_pref,vendor_pay_usefulness,settlement_pref,max_fee_tolerance,feat_reconciliation,feat_analytics,feat_virtual_cards,feat_gst_filing,feat_invoice_finance,feat_payroll_bridge,fx_interest,credit_card_limit,saas_budget,gst_importance,accounting_software,tool_CRM,tool_Cloud_storage,tool_HR_payroll,tool_Project_mgmt,tool_Accounting_sw,tool_None,peer_network_size,social_influence_score,pain_point,cash_pressure_months,festival_spike,bc1_fee_tradeoff,bc2_disqualifier,adoption_intent
R0001,P1_TechFounder,26-35,Tier2,IT/Software,3-7yr,25L-1Cr,Owner alone,<1week,Mixed,5L-25L,Sometimes,Yes_corporate,No_stable,1,1,1,1,1,1,0,1,7,0,1,0,1,0,0,Lower_fee,Hidden_charges,No,Yes_very_cautious,4.0,Very_comfortable,Self_tutorial,5,Lowest_fee,>2.5pct,4,4,3,5,3,3,Yes_intl_vendors,>15L,500-1500,4,Zoho_QB,1,1,1,0,0,0,20+,4,No_single_view,Jan-Mar,Yes_slightly,Instant_2.5pct,Yes_need_float,2
R0002,P1_TechFounder,26-35,Tier1,IT/Software,1-3yr,1Cr-5Cr,Owner alone,1-3months,NEFT/RTGS,>25L,Sometimes,Yes_corporate,Yes_severe,1,1,0,0,1,1,1,0,5,0,0,1,1,0,0,Bank_trust,No_concerns,No,Yes_open,4.0,Comfortable,WhatsApp_chat,5,Next_day,2-2.5pct,4,4,3,5,4,4,Yes_intl_vendors,5L-15L,1500-3000,3,Tally,1,1,0,0,1,0,6-20,3,GST_complex,Oct-Dec,No_change,Classic_1pct,Yes_need_float,2
R0003,P1_TechFounder,26-35,Metro,Consulting,7+yr,<25L,Owner alone,2-4weeks,UPI,1L-5L,Rarely,No_planning,Yes_manageable,1,1,1,0,0,1,0,0,4,1,1,0,1,1,0,All_in_one,Data_security,Yes_minor,No_bad_exp,5.0,Very_comfortable,WhatsApp_chat,5,Same_day,2-2.5pct,5,3,4,5,3,3,Yes_intl_vendors,5L-15L,1500-3000,1,Zoho_QB,1,1,1,0,1,0,1-5,4,Cashflow_timing,No_pattern,No_change,Instant_2.5pct,Maybe,3
R0004,P1_TechFounder,26-35,Metro,IT/Software,<1yr,>5Cr,CFO,2-4weeks,UPI,5L-25L,Sometimes,No_planning,No_stable,1,1,1,1,0,1,1,1,7,0,1,1,1,0,0,Better_integration,CA_wont_approve,Yes_minor,No_bad_exp,4.0,Comfortable,Phone_agent,5,Next_day,1-1.5pct,3,3,5,4,4,4,Maybe_future,5L-15L,500-1500,3,Excel,1,1,0,1,0,0,20+,4,Cashflow_timing,No_pattern,Yes_slightly,Classic_1pct,No_only_situational,3
R0005,P1_TechFounder,26-35,Metro,Consulting,1-3yr,25L-1Cr,Owner alone,1-3months,Credit Card,5L-25L,Never,Yes_personal,No_stable,1,1,0,1,0,1,1,1,6,0,0,0,0,0,0,All_in_one,Platform_shutdown,No,No_bad_exp,5.0,Very_comfortable,Self_tutorial,3,Next_day,1-1.5pct,5,3,4,3,3,5,Yes_intl_vendors,5L-15L,1500-3000,3,Excel,1,1,0,1,1,0,20+,4,Manual_reconciliation,Consistent,Yes_slightly,Instant_2.5pct,Yes_need_float,1
R0006,P1_TechFounder,46-55,Tier1,IT/Software,1-3yr,25L-1Cr,Owner alone,<1week,UPI,>25L,Sometimes,Yes_corporate,No_stable,1,1,1,1,1,1,0,1,7,1,1,1,0,0,0,Lower_fee,Hidden_charges,No,Yes_open,3.0,Comfortable,WhatsApp_chat,5,Same_day,1.5-2pct,4,5,4,5,3,4,Maybe_future,>15L,1500-3000,3,Excel,1,1,0,1,0,0,1-5,2,Cashflow_timing,Jan-Mar,Yes_significant,Classic_1pct,Yes_need_float,2
R0007,P1_TechFounder,36-45,Metro,Consulting,1-3yr,25L-1Cr,With CA,2-4weeks,Mixed,>25L,Sometimes,Yes_corporate,Yes_manageable,1,0,0,1,1,1,1,0,5,0,0,0,0,1,0,Better_integration,No_concerns,No,No_exp,3.0,Very_comfortable,Inperson_visit,3,Same_day,No_fee,4,4,3,5,3,3,No_domestic,5L-15L,1500-3000,5,Tally,1,1,0,1,0,0,1-5,3,GST_complex,Oct-Dec,Yes_significant,Instant_2.5pct,Maybe,1
R0008,P1_TechFounder,36-45,Tier1,IT/Software,<1yr,>5Cr,Owner alone,<1week,Mixed,>25L,Frequently,Yes_personal,Yes_manageable,1,1,1,1,0,1,0,1,6,1,1,1,1,0,0,Bank_trust,No_concerns,No,No_bad_exp,5.0,Very_comfortable,CA_setup,1,Lowest_fee,1-1.5pct,4,5,4,4,5,4,No_domestic,5L-15L,1500-3000,4,CA_manages,1,1,0,0,1,0,1-5,3,Card_not_accepted,Apr-Jun,No_change,Instant_2.5pct,No_only_situational,3
R0009,P1_TechFounder,36-45,Metro,IT/Software,3-7yr,1Cr-5Cr,Owner alone,1-3months,Mixed,>25L,Sometimes,Yes_personal,Ongoing,0,0,1,1,1,0,0,1,4,0,0,0,0,0,0,Better_integration,Not_RBI_regulated,Yes_minor,No_exp,5.0,Not_comfortable,CA_setup,4,T+3,>2.5pct,4,4,3,4,4,4,Yes_intl_vendors,5L-15L,1500-3000,3,Tally,0,1,0,1,0,0,6-20,5,Manual_reconciliation,Jan-Mar,Yes_significant,Classic_1pct,Probably_yes,3
R0010,P1_TechFounder,26-35,Metro,Real Estate,1-3yr,1Cr-5Cr,Owner alone,2-4weeks,Mixed,5L-25L,Sometimes,Yes_personal,Yes_manageable,1,0,0,1,0,1,1,0,4,0,0,0,1,0,1,Lower_fee,Data_security,Yes_minor,Yes_open,4.0,Very_comfortable,Self_tutorial,5,Next_day,2-2.5pct,4,4,3,4,2,4,Maybe_future,5L-15L,1500-3000,1,Excel,0,1,0,0,1,0,6-20,5,Cashflow_timing,Apr-Jun,Yes_slightly,Instant_2.5pct,Probably_yes,2
R0011,P1_TechFounder,26-35,Tier1,Real Estate,1-3yr,1Cr-5Cr,Partner,2-4weeks,UPI,1L-5L,Rarely,Yes_personal,Yes_manageable,1,1,1,1,1,1,1,0,7,0,0,0,1,1,0,Bank_trust,CA_wont_approve,No,Yes_open,3.0,Very_comfortable,WhatsApp_chat,4,Same_day,No_fee,3,4,3,4,3,3,Yes_intl_vendors,>15L,<500,4,Zoho_QB,0,1,1,0,0,0,1-5,3,High_bank_charges,No_pattern,No_change,Instant_2.5pct,Yes_need_float,3
